Survey,Date,Station,Temp,TopEC,BottomEC,Secchi,Turbidity,Lat,Long,Comments
4,2009-02-17,919,9.899999619,387,395,200,,,,
4,2009-02-18,405,10.5,14000,14330,16,,,,
4,2009-02-18,411,10,16300,23520,50,,,,
4,2009-02-18,418,10.5,12020,13650,41,,,,
4,2009-02-18,501,9.800000191,11950,13960,67,,,,
4,2009-02-18,504,10,8000,14660,78,,,,
4,2009-02-18,508,10.80000019,5070,11580,68,,,,
4,2009-02-18,513,10.60000038,3158,9820,64,,,,
4,2009-02-18,519,10.19999981,6610,12900,60,,,,
4,2009-02-18,520,10.30000019,3399,6240,60,,,,
4,2009-02-18,602,10.5,12160,12200,44,,,,
4,2009-02-18,606,10.30000019,9570,9660,37,,,,
4,2009-02-18,609,10.19999981,7940,8100,39,,,,
4,2009-02-18,610,10.39999962,5830,5930,30,,,,
4,2009-02-18,703,10.19999981,1312,1620,70,,,,
4,2009-02-18,704,10.5,464,1690,90,,,,
4,2009-02-18,705,10.19999981,630,605,130,,,,
4,2009-02-18,706,10.30000019,385,439,95,,,,
4,2009-02-18,707,9.800000191,298,297,110,,,,
4,2009-02-18,711,9.199999809,238,239,40,,,,
4,2009-02-18,716,9.300000191,374,394,95,,,,
4,2009-02-18,723,9.199999809,324,324,43,,,,
4,2009-02-18,801,10.60000038,3155,5450,60,,,,
4,2009-02-18,804,10.5,2517,2820,70,,,,
4,2009-02-18,812,9.800000191,492,493,155,,,,
4,2009-02-18,815,9.300000191,352,391,168,,,,
5,2009-03-02,703,12.60000038,296,297,25,,,,
5,2009-03-02,704,12.5,218,224,20,,,,
5,2009-03-02,705,12.5,210,214,25,,,,
5,2009-03-02,706,12.69999981,214,217,25,,,,
5,2009-03-02,707,12.69999981,244,246,20,,,,
5,2009-03-02,711,12.69999981,197,209,35,,,,
5,2009-03-02,716,12.69999981,235,264,30,,,,
5,2009-03-02,723,12.60000038,238,252,30,,,,
5,2009-03-02,809,12.30000019,358,403,66,,,,
5,2009-03-02,812,12.19999981,317,320,35,,,,
5,2009-03-02,815,12.30000019,278,279,40,,,,
5,2009-03-02,901,12,332,334,60,,,,
5,2009-03-02,902,12.39999962,442,467,90,,,,
5,2009-03-02,906,12.5,339,509,85,,,,
5,2009-03-02,910,12.89999962,495,609,130,,,,
5,2009-03-02,912,13,929,945,121,,,,
5,2009-03-02,914,12.69999981,597,595,150,,,,
5,2009-03-02,915,12.60000038,471,454,105,,,,
5,2009-03-02,918,12.80000019,540,549,102,,,,
5,2009-03-02,919,12.69999981,205,645,65,,,,
5,2009-03-03,405,11.89999962,12500,15590,28,,,,
5,2009-03-03,411,11.69999981,7300,11160,30,,,,
5,2009-03-03,418,11.69999981,4598,14000,40,,,,
5,2009-03-03,501,11.89999962,1776,3093,38,,,,
5,2009-03-03,504,11.80000019,5008,7040,50,,,,
5,2009-03-03,508,12,867,2036,32,,,,
5,2009-03-03,513,12.19999981,363,375,29,,,,
5,2009-03-03,519,12.10000038,1011,1047,30,,,,
5,2009-03-03,520,12.10000038,314,310,40,,,,
5,2009-03-03,602,11.69999981,1194,1221,30,,,,
5,2009-03-03,606,12.19999981,1647,1670,25,,,,
5,2009-03-03,609,12.10000038,2022,1963,32,,,,
5,2009-03-03,610,12.30000019,1117,1182,30,,,,
5,2009-03-03,801,12.19999981,298,300,31,,,,
5,2009-03-03,804,12.10000038,307,313,33,,,,
1,2010-01-04,501,9.300000191,17530,18300,40,31,38-04-25.4,122-01-29.4,
1,2010-01-04,504,9.300000191,14420,17040,70,17,38-03-23.0,121-59-23.4,
1,2010-01-04,508,9,12520,14430,65,19,38-02-46.3,121-54-59.7,
1,2010-01-04,513,9.100000381,9790,11501,68,15,38-03-30.4,121-52-20.9,
1,2010-01-04,519,9,12320,14990,60,17,38-04-27.2,121-57-28.1,
1,2010-01-04,520,9.100000381,6930,7980,65,18,38-02-06.5,121-52-41.3,
1,2010-01-04,801,9.100000381,7060,7600,68,14,38-02-17.1,121-50-30.9,
1,2010-01-04,804,9.300000191,4559,5040,64,12,38-01-03.8,121-47-46.9,
1,2010-01-04,809,9,1632,1670,91,9,38-03-05.0,121-41-39.5,
1,2010-01-04,901,9,1226,1230,145,6,38-02-43.0,121-36-58.1,
1,2010-01-04,902,9.100000381,992,1011,200,3,38-01-08.0,121-34-56.7,
1,2010-01-04,906,9.300000191,546,545,200,4,38-03-00.6,121-30-21.0,
1,2010-01-04,910,9.300000191,583,585,97,6,38-00-06.5,121-27-00.6,
1,2010-01-04,912,9.600000381,984,983,115,6,37-58-03.9,121-22-13.6,
1,2010-01-04,914,9.100000381,546,550,200,3,37-57-52.2,121-31-48.3,
1,2010-01-04,915,9,810,815,200,3,37-56-30.2,121-33-43.6,
1,2010-01-04,918,9.100000381,748,750,133,5,37-51-40.7,121-34-10.0,
1,2010-01-04,919,9.300000191,344,347,195,4,38-06-18.7,121-29-35.0,
1,2010-01-05,405,9.5,20500,35110,38,46,38-02-19.7,122-08-52.2,
1,2010-01-05,411,9.5,18010,19570,60,25,38-03-11.2,122-04-28.3,
1,2010-01-05,418,9.199999809,17390,20800,49,28,38-03-56.2,122-05-58.8,
1,2010-01-05,602,9.199999809,16550,16420,50,26,38-06-48.7,122-02-45.3,
1,2010-01-05,606,9.300000191,10390,10950,36,42,38-10-10.5,122-01-29.8,
1,2010-01-05,609,9,8580,8720,40,32,38-10-01.8,121-56-25.4,
1,2010-01-05,610,8.899999619,7050,7310,43,26,38-05-40.3,121-53-18.1,
1,2010-01-05,703,9.100000381,2954,4002,90,13,38-02-56.5,121-47-53.9,
1,2010-01-05,704,9.100000381,2464,3013,60,28,38-04-00.0,121-47-15.0,
1,2010-01-05,705,9,626,1353,100,10,38-06-08.7,121-42-31.7,
1,2010-01-05,706,9,930,989,90,26,38-05-08.3,121-44-57.9,
1,2010-01-05,707,9,378,383,135,12,38-07-05.8,121-42-14.0,
1,2010-01-05,711,9.100000381,316,325,145,6,38-10-36.7,121-39-41.7,
1,2010-01-05,716,9.100000381,355,356,95,8,38-14-24.8,121-41-10.6,
1,2010-01-05,723,9.199999809,344,346,85,7,38-14-18.8,121-40-22.1,
1,2010-01-05,812,9.199999809,1116,1115,131,6,38-05-22.0,121-38-18.9,
1,2010-01-05,815,9.199999809,608,603,182,4,38-05-04.3,121-34-20.9,
2,2010-01-19,508,9.600000381,10860,15250,58,22,38-02-46.9,121-54-56.6,
2,2010-01-19,513,9.699999809,9160,12280,62,19,38-03-34.8,121-52-16.5,
2,2010-01-19,520,9.600000381,7550,10650,60,16,38-01-56.8,121-52-06.0,
2,2010-01-19,801,9.800000191,7150,7330,54,20,38-02-17.6,121-50-33.1,
2,2010-01-19,804,9.800000191,5280,5850,34,17,38-01-04.1,121-47-44.8,
2,2010-01-19,809,9.600000381,1747,1879,59,15,38-03-13.0,121-41-33.1,
2,2010-01-19,812,9.699999809,1045,1048,140,8,38-05-24.0,121-38-23.7,
2,2010-01-19,815,9.800000191,668,692,110,8,38-05-08.9,121-34-16.8,
2,2010-01-19,901,9.600000381,1084,1258,21,71,38-02-05.7,121-35-36.8,
2,2010-01-19,902,9.600000381,833,861,84,9,38-01-10.0,121-34-56.9,
2,2010-01-19,906,9.800000191,469,473,155,5,38-02-57.8,121-30-18.9,
2,2010-01-19,910,9.800000191,478,488,141,5,38-00-14.3,121-27-06.4,
2,2010-01-19,912,9.899999619,897,903,137,6,37-58-07.1,121-22-18.3,
2,2010-01-19,914,9.699999809,521,524,142,4,37-58-01.6,121-31-50.9,
2,2010-01-19,915,9.600000381,785,943,134,6,37-56-52.5,121-34-08.6,
2,2010-01-19,918,9.600000381,702,703,102,7,37-51-39.8,121-34-08.7,
2,2010-01-19,919,10.19999981,244,245,133,5,38-06-19.6,121-29-38.6,
2,2010-01-21,405,9.600000381,18600,25700,35,48,38-02-18.6,122-08-54.8,
2,2010-01-21,411,9.699999809,16520,19170,40,33,38-03-09.7,122-04-26.9,
2,2010-01-21,418,9.600000381,17330,22830,50,22,38-04-00.7,122-05-48.8,
2,2010-01-21,504,9.300000191,12160,12360,70,29,38-03-06.5,121-59-06.9,
2,2010-01-21,602,9.399999619,14630,14490,50,17,38-06-45.9,122-02-42.6,
2,2010-01-21,606,9.600000381,12780,12840,35,46,38-10-09.9,122-01-30.5,
2,2010-01-21,609,9.5,10850,11380,47,32,38-10-01.7,121-56-10.9,
2,2010-01-21,610,9.399999619,7110,7220,50,23,38-05-40.5,121-53-18.5,
2,2010-01-21,703,9.600000381,875,3052,59,29,38-03-09.3,121-47-57.9,
2,2010-01-21,704,9.699999809,627,3634,50,25,38-04-00.9,121-47-17.8,
2,2010-01-21,705,9.800000191,295,303,89,14,38-05-40.1,121-42-29.0,
2,2010-01-21,706,9.600000381,287,574,60,21,38-05-08.7,121-45-03.4,
2,2010-01-21,707,9.800000191,241,244,82,18,38-06-46.0,121-42-34.8,
2,2010-01-21,711,9.600000381,211,214,50,63,38-10-37.3,121-39-48.1,
2,2010-01-21,716,9.5,286,299,55,59,38-14-24.9,121-41-07.8,
2,2010-01-21,723,9.600000381,268,282,40,51,38-14-10.8,121-40-23.1,
3,2010-02-01,501,9.399999619,306,319,15,124,38-04-24.5,122-01-29.6,
3,2010-02-01,504,9.399999619,343,351,20,86,38-03-04.4,121-59-00.8,
3,2010-02-01,508,9.300000191,255,255,20,114,38-02-50.1,121-55-02.8,
3,2010-02-01,513,9.300000191,215,216,17,100,38-03-33.4,121-52-18.8,
3,2010-02-01,519,9.300000191,240,271,15,120,38-04-26.4,121-57-30.9,
3,2010-02-01,520,9.699999809,365,369,24,67,38-01-59.2,121-52-19.6,
3,2010-02-01,801,9.300000191,280,287,17,82,38-02-19.4,121-50-26.6,
3,2010-02-01,804,9.199999809,379,383,34,57,38-01-03.2,121-47-39.6,
3,2010-02-01,809,9.399999619,295,293,20,64,38-03-03.6,121-41-41.8,
3,2010-02-01,812,9.600000381,208,209,22,61,38-05-22.4,121-38-27.4,
3,2010-02-01,815,9.899999619,251,227,29,40,38-05-03.9,121-34-14.5,
3,2010-02-01,901,9.5,291,303,34,44,38-02-46.5,121-37-07.7,
3,2010-02-01,902,9.5,300,450,82,42,38-01-09.1,121-34-56.9,
3,2010-02-01,906,10.69999981,346,370,48,22,38-02-48.3,121-30-09.7,
3,2010-02-01,910,10.89999962,513,508,46,24,38-00-02.5,121-26-56.4,
3,2010-02-01,912,10.5,540,560,60,24,37-58-05.0,121-22-14.1,
3,2010-02-01,914,10,504,507,94,12,37-58-08.6,121-31-42.5,
3,2010-02-01,915,9.699999809,531,527,91,11,37-56-36.9,121-33-51.8,
3,2010-02-01,918,9.800000191,595,597,113,7,37-51-40.9,121-34-11.4,
3,2010-02-01,919,10.10000038,198,200,32,47,38-06-19.3,121-29-37.0,
3,2010-02-02,405,9.399999619,800,795,15,214,38-02-21.8,122-08-56.7,
3,2010-02-02,418,9.5,687,656,21,153,38-04-02.4,122-05-48.7,
3,2010-02-02,602,9.300000191,311,363,20,119,38-06-44.0,122-02-45.2,
3,2010-02-02,606,9.800000191,4248,4305,21,116,38-10-10.5,122-01-30.1,
3,2010-02-02,609,9.899999619,3591,3790,24,78,38-10-02.8,121-56-07.6,
3,2010-02-02,610,9.5,857,919,21,99,38-05-38.9,121-53-16.1,
3,2010-02-02,703,10.39999962,274,271,22,60,38-03-00.7,121-47-50.2,
3,2010-02-02,704,10.10000038,206,216,24,81,38-03-55.6,121-47-22.5,
3,2010-02-02,705,9.899999619,196,188,25,68,38-06-04.2,121-42-30.4,
3,2010-02-02,706,10.10000038,217,214,20,85,38-05-05.4,121-45-02.4,
3,2010-02-02,707,10,199,197,22,68,38-07-04.3,121-42-13.4,
3,2010-02-02,711,10.10000038,175,177,26,68,38-10-35.1,121-39-42.7,
3,2010-02-02,716,10.19999981,273,274,24,87,38-14-18.9,121-41-05.1,
3,2010-02-02,723,10.10000038,256,253,25,85,38-14-23.3,121-40-20.8,
4,2010-02-16,501,12.10000038,375,428,26,74,38-04-26.5,121-57-30.1,
4,2010-02-16,504,12.10000038,278,283,33,58,38-03-01.8,121-58-53.5,
4,2010-02-16,508,12,245,248,35,51,38-02-49.1,121-55-02.6,
4,2010-02-16,513,11.80000019,249,251,32,46,38-03-35.2,121-52-15.3,
4,2010-02-16,519,11.80000019,280,278,30,53,38-04-26.6,121-57-31.0,
4,2010-02-16,520,12.30000019,275,274,39,38,38-01-52.1,121-51-44.7,
4,2010-02-16,801,11.80000019,259,264,29,39,38-01-02.3,121-47-35.3,
4,2010-02-16,804,11.80000019,278,280,37,38,38-02-51.5,121-47-42.2,
4,2010-02-16,809,12,301,299,49,27,38-03-09.1,121-41-36.9,
4,2010-02-16,901,,256,,46,22,38-02-47.3,121-37-04.4,
4,2010-02-16,902,,309,,93,14,38-01-07.8,121-34-56.5,
4,2010-02-16,906,,257,,88,21,38-02-55.9,121-30-16.5,
4,2010-02-16,910,,610,,100,17,38-00-08.9,121-27-02.4,
4,2010-02-16,912,,643,,71,18,37-58-04.5,121-22-13.9,
4,2010-02-16,914,,452,,110,10,37-58-08.8,121-31-42.0,
4,2010-02-16,915,,334,,110,11,37-56-38.6,121-34-04.9,
4,2010-02-16,918,,414,,115,11,37-51-46.6,121-34-15.3,
4,2010-02-16,919,,239,,88,20,38-06-18.7,121-29-34.7,
4,2010-02-17,405,13.19999981,3124,4578,32,63,38-02-19.3,122-08-50.6,
4,2010-02-17,411,12.80000019,1280,3025,23,61,38-03-08.3,122-04-32.2,
4,2010-02-17,418,13,730,3357,24,81,38-04-03.7,122-05-48.0,
4,2010-02-17,602,12.80000019,452,516,28,60,38-06-50.4,122-02-46.4,
4,2010-02-17,606,13.80000019,3502,3540,29,59,38-10-11.3,122-01-26.7,
4,2010-02-17,609,13.69999981,2526,2804,37,59,38-10-02.1,121-56-09.5,
4,2010-02-17,610,12.60000038,318,355,30,40,38-01-52.0,121-51-44.2,
4,2010-02-17,703,12.80000019,248,241,49,34,38-02-53.3,121-47-47.0,
4,2010-02-17,704,13.5,270,269,53,31,38-03-57.8,121-47-20.6,
