OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
203,7103,white catfish,8,WHTCATFS,5,WHITECAT,WCF,TRUE,White Catfish,Chordata,NA,NA,Ictaluridae,Ameiurus,catus
204,7148,white crappie,40,WHTCRAPP,7,WHTCRAPP,WC,TRUE,White Crappie,Chordata,NA,NA,Centrarchidae,Pomoxis,annularis
205,2509,white croaker,51,WHTCROAK,41,WHTCROAK,WCR,TRUE,White Croaker,Chordata,NA,NA,Sciaenidae,Genyonemus,lineatus
206,2504,white seabass,,,99,WSEABASS,,TRUE,,,,,,,
207,2116,white seaperch,131,,90,WHTSPRCH,,TRUE,White Surfperch,Chordata,NA,NA,Embiotocidae,Phanerodon,furcatus
208,1502,white sturgeon,22,WHTSTURG,37,WHTSTURG,WST,TRUE,White Sturgeon,Chordata,NA,NA,Acipenseridae,Acipenser,transmontanus
209,1201,whitebait smelt,113,,28,WBATSMLT,,TRUE,Whitebait Smelt,Chordata,NA,NA,Osmeridae,Allosmerus,elongatus
210,2679,wolf eel,123,,87,WOLFEEL,,TRUE,Wolf Eel,Chordata,NA,NA,Anarhichadidae,Anarrhichthys,ocellatus
211,,yellow bullhead,141,,,,,TRUE,Yellow Bullhead,Chordata,NA,NA,NA,Ameiurus,natalis
212,,yellow perch,144,,,,,TRUE,Yellow Perch,Chordata,NA,NA,NA,Perca,flavescens
213,1532,yellow snake eel,,,,,,TRUE,,,,,,,
214,2880,yellowfin goby,10,YELFGOBY,42,YELFGOBY,YFG,TRUE,Yellowfin Goby,Chordata,NA,NA,Gobiidae,Acanthegobius,flavimanus
215,2318,yellowtail rockfish,,,,,,TRUE,,,,,,,
216,,,184,PLEURO,,,PLU,TRUE,Pleurobrachia jellyfish,Cnidaria,NA,NA,NA,NA,NA
217,,,185,BRF,,,,TRUE,Brown Rockfish,Chordata,NA,NA,Scorpaenidae,Sebastes,chrysomelas
218,,,186,SCRIP,,,SP,TRUE,Scrippsia pacifica,Cnidaria,NA,NA,Polyorchidae,Scrippsia,Pacifica
219,,,187,,,,SHR,TRUE,Shrimp (UNID),Arthropoda,,,,,
220,,,188,,98,,,TRUE,Jelly (UNID),Cnidaria,,,,,
221,,,190,LEPOMIS,,,LEP,TRUE,Lepomis (UNID),Chordata,,,Centrarchidae,,
222,,,191,POMOXIS,,,POM,TRUE,Pomoxis (UNID),Chordata,,,Centrarchidae,,
223,,,192,UNID INV,,,,TRUE,Unknown Invertebrate (UNID),,,,,,
224,,,193,UNID DMG,,,,TRUE,Unknown Damaged (UNID),,,,,,
225,,,194,Tri.SB0,,,,TRUE,Trid.SB0 (UNID),Chordata,,,,,
