WaterYear,SacWinter,SacSummer,SacTotal,SacIndex,SacWYType,SJWinter,SJSummer,SJTotal,SJIndex,SJWYType,Dec8Riv,Jan8Riv,Feb8Riv,Mar8Riv,Apr8Riv,May8Riv
2007,6.59,3.04,10.28,6.19,D,0.99,1.46,2.51,1.97,C,1.32,0.87,2.14,2.07,1.74,1.67
2008,5.9,3.82,10.28,5.16,C,0.99,2.45,3.49,2.06,C,0.7,1.7,1.81,1.79,1.89,2.68
2009,7.05,5.3,13.02,5.78,D,1.51,3.35,4.94,2.72,BN,0.57,0.96,2.32,3.64,2.4,4.21
2010,7.45,7.78,16.01,7.08,BN,1.43,4.53,6.08,3.55,AN,0.71,2.48,2.31,2.31,3.25,3.7
2011,12.68,11.53,25.21,10.54,W,3.68,6.9,10.99,5.58,W,4.31,2.1,1.96,6.2,5.23,4.94
2012,5.69,5.46,11.84,6.89,BN,0.83,1.86,2.76,2.18,D,0.49,0.96,0.74,3.03,3.7,2.27
2013,8.52,3.01,12.19,5.83,D,1.33,1.67,3.05,1.71,C,4.09,1.34,1.08,1.71,2.02,1.43
2014,4.29,2.59,7.46,4.07,C,0.46,1.21,1.72,1.16,C,0.38,0.36,1.22,2.05,1.71,1.18
2015,6.91,1.77,9.23,4,C,0.67,0.74,1.44,0.81,C,2.89,0.79,2.23,0.84,0.76,0.82
2016,12.24,4.6,17.48,6.71,BN,2.03,2.98,5.06,2.35,D,1.26,3.67,2.1,6.5,2.92,2.53
2017,26.17,10.69,37.82,14.14,W,6.65,7.77,14.84,6.46,W,3.71,8.53,12.65,5.52,6.61,5.84
2018,7.09,5.05,12.86,7.14,BN,1.64,3.01,4.76,3.03,BN,0.73,1.47,0.81,3.85,4.23,2.13
2019,13.11,10.66,24.77,10.34,W,2.64,6.34,9.28,4.94,W,0.86,2.83,5.2,5.89,6.16,4.97
