AreaRowID,AREA,WTFACTOR
1,1,8.1
2,3,11.3
3,4,6.5
4,5,12.2
5,7,10.2
6,8,18.5
7,10,4.8
8,11,16
9,12,14
10,13,18
11,14,5
12,15,12
13,16,14
14,17,20
